ID,Group,Category,Priority,Status,Description,Use Case
REQ-814,9. Live Data & Events,Subscriptions,MUST,Available,"Provider selection (_resolve_provider_type in provisa/api/data/subscribe.py + get_provider in provisa/subscriptions/registry.py) dispatches on `live.strategy`, NOT on source_type. Validation capability-gates strategy by source_type: warehouses → poll only; MongoDB → native/poll; PostgreSQL → native/debezium/poll/kafka; non-PG RDBMS (MySQL, MariaDB, SQL Server, Oracle) → debezium/poll/kafka (debezium/kafka require source-level cdc transport per REQ-824); Kafka topics → kafka only. No source is registered with a synthetic ""debezium"" type; strategy=debezium routes to the Debezium provider.","Dispatching on strategy instead of source_type correctly models that strategy is a choice of delta-capture mechanism (independent of where the data is queried from), not a data source type. Capability-gating per source_type prevents misconfiguration (e.g., native change streams on Snowflake)."
REQ-815,8. Deployment & Infrastructure,Docker Compose Organization,MUST,Available,"Telemetry sink services (otel-collector, prometheus, tempo, grafana, otlp2parquet) are organized into an independently start/stoppable compose project (provisa-observability) separate from the core runtime stack. The app degrades gracefully (fire-and-forget) when no OTLP collector is listening. MinIO base definitions move to docker-compose.core.yml; Trino and trino-worker remain core with observability-specific env/exporter overlays applied only when telemetry is enabled.",Telemetry infrastructure is optional overhead for test and CI runs. Isolating telemetry sinks reduces startup time and resource consumption while ensuring app correctness does not depend on collector availability.
REQ-816,8. Deployment & Infrastructure,Docker Compose Organization,SHOULD,Available,"Demo/sample upstream sources (graphql-demo, petstore-mock) are organized into an independently start/stoppable compose project separate from the core runtime, categorized alongside other test-only services (neo4j, elasticsearch, kafka, schema-registry, fuseki, mongodb). Integration tests requiring these fixtures bring them up via harness markers rather than assuming they are already running in the dev stack.",Demo sources serve as test fixtures for federation and remote-source integration tests. Organizing them with other test services ensures test harness controls their lifecycle and reduces assumptions about the dev environment state.
REQ-817,8. Deployment & Infrastructure,Trino Memory Management,MUST,Available,"Trino memory overflow handling uses Fault-Tolerant Execution (FTE) with task.retry-policy=TASK and task.low-memory-killer.policy=total-reservation-on-blocked-nodes. Docker deployments use a shared named-volume filesystem exchange manager (trino/etc/exchange-manager.properties, /data/trino/exchange). Helm deployments require an S3/MinIO-backed exchange manager with a MinIO bucket-init Job or external S3 endpoint+credentials, enforced by a fail-loud guard.",FTE replaces legacy spill-to-disk (deprecated in Trino 481) and mitigates noisy-neighbor OOM in multi-tenant deployments by isolating task memory failures and enabling graceful task retry.
REQ-818,"5. Query Languages, Compilation & Operations",Cypher Mutations,MUST,Available,"Cypher supports WRITES via the /data/cypher endpoint. CREATE, DELETE, and SET statements execute as direct table writes through the same write pipeline as GraphQL and SQL mutations, with RLS injection, dialect transpilation, and post-mutation hooks. Non-direct write patterns (MERGE, DETACH, REMOVE) are unsupported and rejected. All writes are governed by table/view write rights like any other write. This supersedes REQ-346 (read-only constraint), which is now inaccurate.",Write support enables graph users to mutate data via Cypher while maintaining governance consistency with SQL and GraphQL mutations.
REQ-819,6. Real-Time & Live Data,Live Delivery Configuration,MUST,Available,"Per-table live delivery configuration is now configurable via the admin GraphQL API and admin UI (TablesPage). Configuration is persisted on registered_tables.live (JSONB column). Configuration includes: query_id (identifies the live query), watermark_column (tracks delivery progress), poll_interval (frequency in seconds), delivery mode (""poll"" or ""cdc""), and outputs array (SSE or Kafka sinks). Previously configuration was YAML-only.",UI-based configuration makes live delivery settings accessible to non-YAML-fluent operators and enables runtime changes without server restart.
REQ-820,6. Real-Time & Live Data,Live Query Routing,MUST,Available,"Live poll execution routes through Trino (federated query), not the PostgreSQL connection pool. Any federated SQL source with a watermark column is pollable. The engine's pg_pool is used only for watermark bookkeeping (live_query_state table). This enables polling over remote sources (not just PostgreSQL) via Trino's federation layer.","Routing through Trino enables live polling of any federated SQL source (e.g., BigQuery, Snowflake, S3 via Iceberg) without embedding source-specific clients into the live engine."
REQ-821,6. Real-Time & Live Data,Live Delivery Mechanisms,MUST,Available,PostgreSQL data is never polled for live delivery. PostgreSQL live delivery uses delivery=cdc (LISTEN/NOTIFY with database triggers). Poll delivery (delivery=poll) is reserved for non-push federated sources reached through Trino. This prevents duplicate load on PostgreSQL replication and uses push mechanisms where available.,PostgreSQL's native LISTEN/NOTIFY is more efficient than polling. Restricting poll to federated sources avoids duplicate query load on the primary database.
REQ-822,6. Real-Time & Live Data,Live Delivery Mechanisms,MUST,Available,"delivery=cdc is restricted to source types with a real push provider in the subscription registry: postgresql (LISTEN/NOTIFY triggers), debezium and kafka (Kafka consumers), mongodb (change streams). All other sources default to delivery=poll. CDC connection config is inherited from the source definition, never per-table. This ensures CDC is only used when a push mechanism is available.",Restricting CDC to sources with native push mechanisms prevents attempts to use CDC on sources that don't support it. Connection config inheritance avoids credential duplication per table.
REQ-823,6. Real-Time & Live Data,Live Delivery Configuration,MUST,Available,The LiveEngine reconciles poll jobs from the database at startup and after every admin mutation via _rebuild_schemas(). This ensures that admin-set live config takes effect without server restart. Configuration changes trigger immediate engine reconciliation.,Startup reconciliation catches live jobs even if the engine crashes mid-execution. Admin mutations trigger immediate reconciliation so operators see changes reflected in real-time without restart overhead.
REQ-824,6. Real-Time & Live Data,Live Delivery Mechanisms,MUST,Available,"Source-level CDC transport configuration. Debezium/Kafka delta-transport (bootstrap_servers, topic_prefix, schema_registry_url, consumer_group_id) is entered ONCE per source via a `cdc` block on the Source model (persisted to sources.cdc JSONB), never repeated per-table. Per-table live config only selects delivery=cdc; the runtime inherits transport from the source. A source-level cdc block is only valid on CDC-capable RDBMS sources (postgresql uses native LISTEN/NOTIFY and needs no transport; mysql/mariadb/sqlserver/oracle require it to enable delivery=cdc via Debezium). Provider dispatch routes non-PG RDBMS sources with a cdc block to the Debezium provider. Polling remains per-table (watermark_column, poll_interval).","Eliminates repeated data entry of Debezium/Kafka connection details across every table of a source; transport is a per-source connector property, not a per-table one."
REQ-825,"6. Execution, Routing, Caching & Performance",Execution & Routing,SHOULD,Available,"The Provisa FederationEngine is a pluggable, abstract execution substrate behind a single contract. It is one of four primitives composed as a data-flow pipeline: DATASOURCES → FEDERATION ENGINE → SEMANTIC LAYER → EXECUTION PIPELINE. DATASOURCES are external systems with a capability profile. The FEDERATION ENGINE (this requirement) federates those datasources into one raw unified queryable surface; the method per source is the federation strategy (REQ-826). The SEMANTIC LAYER is the governed virtual model projected over that surface — registered tables/columns, relationships, domains, RLS, masking — engine-independent; it is where governance is DEFINED and the thing queries target. The EXECUTION PIPELINE turns a query into results as a sequence of total IR→IR passes (nanopass discipline), bookended by transport: (1) TRANSPORT ingress — receive the query over the client protocol (pgwire, Bolt, Arrow Flight, GraphQL, SQL); (2) TRANSPILE TO IR — frontend parse of the source language into a dialect-neutral logical IR (plural frontends converge here); (3) TRANSPILE TO GOVERNED IR — apply the semantic layer: inject RLS predicates, masking expressions, and relationship joins (engine-independent; the IP pass); (4) PLAN — the one IMPURE stage: not a pure transpile but a planner that (a) chooses the ROUTE (direct native-driver execution for a single reachable source vs handing the query to the federation engine), (b) resolves RESIDENCY PREREQUISITES — for each source whose federation strategy is MATERIALIZED and stale, emit a side-effecting prep step that loads/refreshes it into the DB cache before execute (REQ-826), and (c) CODEGENs the engine-dialect SQL via SQLGlot for the chosen route. The output is not a string but an ordered plan: a prep phase (0..n cache materializations, may be empty) feeding a single terminal step (DIRECT driver or federation-engine execute); this is where today's router (DIRECT/TRINO/API) and the cache tiers (hot/warm/MV) converge. (5) EXECUTE — the federation engine runs the terminal step and does its own opaque physical planning (NOT Provisa's plan); (6) TRANSPORT egress — stream results back over the same client protocol. Stages 1–3 are pure and engine-independent; stage 4 reads mutable freshness state and emits effects, and stages 4–5 vary per engine — so governance-parity conformance (REQ-827) must PIN residency (pre-warm the prep phase) and then test only the codegen + execute. No governance or compilation logic is duplicated per engine — governance is defined in the semantic layer and ENFORCED at stage 3; the engine only executes. There is no ""federation vs warehouse"" dichotomy: EVERY engine federates; only the METHOD of federation changes with capability (see REQ-826). An engine advertises a capability profile with two axes: (a) REACH — for each datasource, which federation strategies it can support; and (b) SCALE — single-node/memory-bound vs distributed. The profile RANKS transports per source (native > ADBC > ODBC), not a has_connectors boolean. Concrete engines: DuckDB is a full federation engine whose reach nearly matches Trino's — native ATTACH for postgres/mysql/sqlite; ODBC (community nanodbc odbc_attach, or the DuckDB-team odbc/odbc_scanner functions) for any ODBC source; ADBC (community adbc_scanner, Arrow-native, preferred over ODBC); NoSQL via community extensions (mongo ATTACH TYPE MONGO, cassandra scan/query/ATTACH, elasticsearch_query); and zero-copy file scans. Its ONLY differentiator vs Trino is SCALE (single-node, memory-bound, no distributed shuffle), making it ideal on a developer desktop with no Trino dependency. Trino has broad reach and distributed scale. Snowflake/Databricks/Dremio are reused as engines to leverage a customer's existing infrastructure. A pure RDBMS (e.g. SQL Server) has near-zero reach and federates only by the materialized strategy. The engine is selected at deployment via top-level config (engine: duckdb | trino | snowflake | databricks | dremio | ...), not per-source. All query dispatch that today reads the hardcoded Trino singleton (provisa/api/app.py, provisa/api/data/endpoint.py, provisa/executor/trino.py) must route through the FederationEngine contract. The IR->physical mapping is intentionally thin — the divergence is confined to dialect transpilation and the per-source federation strategy (REQ-826). DONE (2026-07): the PLAN stage OUTPUT is modelled — provisa/federation/plan.py::build_execution_plan composes the pure part of stage 4 into an ordered Plan: a prep phase (0..n PrepStep residency loads/refreshes, one per source whose federate() strategy is MATERIALIZED and stale) feeding a single terminal Route (DIRECT for a single VIRTUAL source, ENGINE otherwise). This is the four-primitive flow's planner surface built on the connector/federate contract (REQ-840/826). REMAINING (kept in-progress): the other pipeline stages as engine-agnostic passes (transport ingress/egress, transpile to IR, transpile to governed IR, codegen, execute) and routing the hardcoded-Trino dispatch through the FederationEngine contract.","Decouples Provisa's governed semantic layer from any single execution vendor. The same semantic layer, execution pipeline, governance, IR, and multi-protocol query surface run on an embedded desktop engine (DuckDB, no Trino), the Trino federation engine, or a customer's existing warehouse (Snowflake/Databricks/Dremio) — making the engine a swappable deployment choice and concentrating Provisa's IP in the semantic layer, pipeline, governance, and federation-strategy logic rather than the engine. Intended model: develop on DuckDB (laptop, zero infra, full governance and full source reach), then scale out to Trino/Snowflake/Databricks in production, unchanged."
REQ-826,"6. Execution, Routing, Caching & Performance",Caching,SHOULD,Available,"Federation strategy and freshness management — the datasources → federation engine arrow of REQ-825. The binding between a datasource table and the engine is a FEDERATION STRATEGY: the method by which that source joins the engine's unified surface. federate(datasource, table) resolves each table to one of three strategies and returns which was chosen, because freshness differs per strategy: (1) VIRTUAL — the engine reaches the source live (a connector, or DuckDB ATTACH to postgres/mysql/sqlite, or a Trino connector); no copy, always fresh, cache_ttl irrelevant. (2) SCAN — the source is a file/object the engine reads in place, exposed as a CREATE VIEW with no data moved; freshness follows the underlying file, cache_ttl irrelevant. For DuckDB this spans read_parquet/read_csv/read_json, httpfs over S3/HTTP/GCS/Azure, Iceberg/Delta via extension, ATTACH of external DuckDB/SQLite, and other scanner extensions; the engine declares what it can scan. (3) MATERIALIZED — no virtual or scan representation (live APIs, NoSQL, or an RDBMS deliberately cached for latency); data is INSERTed/COPYed in. MATERIALIZED is the ONLY strategy where cache_ttl means a reload interval and the load-scheduling/invalidation logic runs; VIRTUAL and SCAN are effectively free. The federation strategy is STATEFUL — it owns residency, reload state, and freshness; the execution pipeline (transpile → transport) is stateless per query and must not carry this state. The chosen strategy depends on BOTH datasource capability and engine capability, so the same source may federate by different strategies on different engines. This unifies today's three separate mechanisms — OpenAPI PG response cache (provisa/openapi/pg_cache.py), NoSQL mapping catalogs, and warm-tables/MV materialization — into one federate() operation. NoSQL scanners (mongo, cassandra, elasticsearch) infer schema on read; because governance in the semantic layer binds to columns, federate() MUST pin the schema on the CREATE VIEW from the semantic layer's mapping (REQ-251), never trust re-inference. The router must not attempt a live/VIRTUAL route when federate() reports only a MATERIALIZED strategy for that source; it uses the strategy federate() returns. Only the TENANT MATERIALIZATION STORE (durable — API/GraphQL/gRPC results, warm tables, MVs; REQ-830) is a true MATERIALIZED strategy: the data becomes a real relation the engine reads, so it PARTICIPATES in federation (joinable/scannable like any source). The TENANT HOT CACHE is NOT a federation strategy and is orthogonal to virtual|scan|materialized — it is a codegen-time VALUES-CTE injection inlined into the SQL at the PLAN stage, never an engine relation and never federated; tier exclusivity (REQ-241) chooses hot over materialization store. DONE (2026-07): federate(source, engine) is implemented (provisa/federation/strategy.py), resolving each source to VIRTUAL | SCAN | MATERIALIZED and returning which was chosen. The choice depends on BOTH source capability and engine capability: an ATTACH connector on a live DB → VIRTUAL, an ATTACH connector on a file/object type (csv/parquet/iceberg/...) → SCAN, a LAND connector (warehouse-native) → MATERIALIZED, and an API/NoSQL source with no connector → MATERIALIZED (loaded into the store). The same source therefore federates differently per engine (csv SCANs on DuckDB but is UnreachableSource on a Trino build without a csv connector). prefer_materialized forces MATERIALIZED for a live source deliberately cached for latency. requires_residency(strategy) is the REQ-825 stage-4b signal (only MATERIALIZED needs a prep step). REMAINING (kept in-progress): the STATEFUL side — wiring residency / reload-scheduling / invalidation and unifying the three existing mechanisms (openapi pg_cache, NoSQL mapping catalogs, warm-tables/MV) behind this one federate() operation, and having the router consume the returned strategy — lands with the materialization store (REQ-844-848/830) and the PLAN stage.","Concentrates the real complexity of federation — strategy selection, residency, reload scheduling, and invalidation — in one stateful federate() operation, so any datasource (RDBMS, files, NoSQL, APIs) joins the engine's surface by the best available strategy with predictable freshness, independent of which engine is deployed."
REQ-827,"6. Execution, Routing, Caching & Performance",Execution & Routing,MUST,Available,"Governance-parity conformance across federation engines. Any engine admitted to the FederationEngine contract (REQ-825) MUST produce byte-identical governed results — RLS filtering, column masking, relationship-join enforcement, and row/aggregate output — as the reference engine for the same query and same identity. Because governance is defined in the semantic layer and enforced when the query compiles to IR, only the transpile → transport stages differ per engine; SQLGlot transpiles syntax, but semantic edges still differ per engine (NULL ordering, type coercion, decimal/numeric precision, regex and collation semantics, timezone and timestamp handling, string comparison case sensitivity), and these must not change which rows are visible, which cells are masked, or which joins are enforced. An engine is certified only by passing a shared governance-parity conformance suite run against a fixed golden dataset and identity matrix; results are diffed against the reference engine and any divergence fails certification. This is a hard gate: an uncertified engine MUST NOT be selectable in production config (REQ-825). The suite is authoritative for DuckDB, Trino, Snowflake, Databricks, Dremio, and any future engine. DONE (2026-07): the comparator + certification GATE are implemented — provisa/federation/conformance.py:: compare_governed_results diffs a candidate engine's governed rows against the reference as an order-INDEPENDENT multiset (NULL ordering is an allowed semantic edge) but visibility/masking-EXACT: a row visible in exactly one side (an RLS leak or over-filter) or a differently-masked cell is a Divergence, and any divergence fails certification. ConformanceRegistry tracks certified engines (the reference is always certified) and require_certified raises UncertifiedEngineError — the hard gate that an uncertified engine must not be selectable. REMAINING (kept in-progress): the conformance SUITE itself — the fixed golden dataset + identity matrix and the runner that executes each query on every candidate engine and feeds the diff — which needs the live multi-engine execution paths.",
REQ-828,"11. Platform, Infrastructure & Delivery",Deployment & Infrastructure,SHOULD,Available,"Pluggable admin/metadata store, decoupled from Postgres, selected via a SQLAlchemy-compliant URI. The control-plane store (sources, domains, registered tables, columns, naming rules, governance config) plus the OpenAPI/GraphQL cache substrate must run on an embedded engine (DuckDB or SQLite) with zero external infra on a developer desktop, and on Postgres in production — same schema, same behavior. This is required for the desktop deployment model in REQ-825 (PG today requires Docker, which breaks the zero-infra laptop story). Three couplings must be removed: (1) DRIVER — repositories take asyncpg.Connection directly (provisa/core/repositories/source.py) and the pool factory is asyncpg-only (provisa/core/db.py); these move behind a store abstraction driven by a SQLAlchemy URI. (2) DIALECT — schema.sql uses Postgres-specific DDL (SERIAL, JSONB); metadata DDL must be dialect-neutral. (3) META-GOVERNANCE RLS — the hard gate: _init_meta_rls (provisa/api/app.py, REQ-041/REQ-402) enforces control-plane governance via Postgres row-level security, which DuckDB/SQLite lack. Meta-RLS enforcement MUST move from the database into the app layer so control-plane governance is store-independent (the same parity principle as REQ-827, applied to the admin DB). Until meta-RLS is app-enforced, embedded stores cannot be certified for production. On desktop the OpenAPI/GraphQL cache lands in the embedded store rather than a Docker Postgres; where Postgres exists (prod) the existing pg_cache path is unchanged and DuckDB may ATTACH it (REQ-826). This store is the TENANT CONTROL PLANE REGISTRY (REQ-830) — per-tenant, distinct from the PLATFORM CONTROL PLANE REGISTRY (tenant directory, federation-engine registry, platform governance). The meta-RLS move generalizes to a single app-layer tenant-isolation boundary enforced across all tenant-scoped stateful components, since swappable media (Redis, DuckDB, S3) have no native RLS.","Makes the full Provisa deployment — control plane and cache, not just the query engine — infra-free on a developer laptop, completing the develop-on-DuckDB / scale-out-in-prod model in REQ-825 without requiring Docker or an external Postgres."
REQ-829,"11. Platform, Infrastructure & Delivery",Deployment & Infrastructure,SHOULD,Available,"Pluggable Redis medium with a lightweight, code-identical embedded realization for desktop. Sibling to REQ-828: where REQ-828 makes the SQL-store medium of the TENANT CONTROL PLANE REGISTRY pluggable (Postgres -> DuckDB/SQLite), this makes the Redis medium pluggable (Redis -> embedded fakeredis), so both halves of the REQ-830 desktop collapse (stateful components 1-4 into one process, zero infra) are covered. Redis is REQ-830's named production medium for the TENANT HOT CACHE (component #4, hot tables REQ-230, provisa/cache/hot_tables.py) and additionally backs the fast result/APQ caches (provisa/cache/store.py, provisa/apq/cache.py) and the Redis-runtime governance state that is orthogonal to the five data-flow components — the sliding-window rate limiter and concurrency gauge (provisa/api/rate_limit.py) and the table-based cache-invalidation index (provisa/cache/store.py). When no REDIS_URL is configured, every one of these MUST transparently use an embedded fakeredis (FakeAsyncRedis) client that is API-identical to redis.asyncio.Redis. All four current connection factories (rate_limit.py:120, cache/store.py:138, apq/cache.py:97, cache/hot_tables.py:174) route through a single make_redis(url, decode_responses) factory that returns redis.asyncio.from_url when a URL is set and FakeAsyncRedis otherwise, sharing one process-wide fakeredis.FakeServer so the four clients (which differ in decode_responses) see the same in-memory store. Zero changes to existing call sites. TENANT ISOLATION for the Redis medium is enforced in the app layer via key namespacing (existing tenant_id key prefixes: provisa:cache:<tenant_id>:..., provisa:apq:<tenant_id>:...), NOT any store-native RLS — the same app-layer isolation boundary REQ-828/REQ-830 mandate for all swappable media (Redis, DuckDB, S3); the single shared FakeServer is acceptable because desktop is single-tenant. The stub is not a KVS: it MUST support the full command surface actually invoked — get/set/delete, expire/TTL, sorted sets (zadd/zcard/zremrangebyscore/zrange for the sliding-window rate limiter), sets (sadd/smembers/scan_iter for the invalidation index), incr/decr (concurrency gauge), and pipelines. An aiocache/cashews-style KVS abstraction is explicitly rejected because it cannot express the sorted-set and set operations without rewriting rate limiting and invalidation, and the pure get/set caches it could serve already degrade to no-ops without Redis, so it buys almost nothing. Rationale — desktop already runs without Redis today, but silently: build_rate_limiter(None) returns NoopRateLimiter (rate_limit.py:118) and NoopCacheStore no-ops invalidate_by_table/invalidate_by_pattern (store.py:93-96), so rate limiting and cache invalidation are simply disabled and those code paths are never exercised on the laptop. Yet both surfaces are live in production: rate limiting runs on every HTTP request (rate_limit_middleware.py:28) plus Arrow Flight, subscriptions, and NL endpoints (flight/server.py:248, data/subscribe.py:404, nl_router.py:58), and table invalidation fires after every write (cypher_router.py:560, data/endpoint.py:3307, admin/schema.py:2458). The purpose is therefore NOT to add missing Redis features but to make desktop exercise the SAME hot-cache, result-cache, and rate-limit code paths as production instead of silently falling back to no-ops — so that behavior is testable on a laptop with zero infra. Production with a real REDIS_URL is unchanged; in production the same medium scales out to Redis (REQ-830). Completes the infra-free desktop model (REQ-825/828/830) by removing Redis as the last mandatory Docker dependency alongside the SQL store.","Lets a developer run the full Provisa backend on a laptop with no Redis server and no Docker, collapsing the Redis medium of the TENANT HOT CACHE and Redis-runtime state into an embedded fakeredis while exercising the identical hot-cache, result-cache, APQ, rate-limit, and invalidation code paths that production runs against a real Redis — rather than the current silent no-op fallback — so behavior is the same, and testable, in both environments, with tenant isolation enforced in the app layer."
REQ-830,"11. Platform, Infrastructure & Delivery",Deployment & Infrastructure,SHOULD,Available,"Stateful-component topology. The four data-flow primitives (datasources -> federation engine -> semantic layer -> execution pipeline; REQ-825) describe a STATELESS per-query flow. Orthogonal to them, a deployment holds FIVE PLUGGABLE STATEFUL COMPONENTS, each independently swappable and — except the platform registry — TENANT-ISOLATED: (1) PLATFORM CONTROL PLANE REGISTRY — platform-scoped, shared: tenant directory, federation-engine registry, platform-level governance (REQ-041/REQ-402), and per-tenant routing (which registry/caches/engine each tenant uses). (2) TENANT CONTROL PLANE REGISTRY — per-tenant: persists that tenant's datasource definitions and semantic layer (registered tables/columns, relationships, domains, RLS, masking, naming); the store REQ-828 makes pluggable. (3) TENANT MATERIALIZATION STORE — per-tenant durable store realizing the MATERIALIZED federation strategy (REQ-826): API/GraphQL/gRPC result caches, warm tables, MVs; disk/object-backed. It is a real relation the federation engine reads, so materialized/MV data PARTICIPATES in federation (joinable/scannable like any source). (4) TENANT HOT CACHE — per-tenant fast tier realizing hot tables (REQ-230): small, low-latency, ephemeral. STRICTLY a CTE-injection mechanism — its data is inlined as a VALUES CTE into the generated SQL at codegen and NEVER becomes an engine relation, so it does NOT participate in federation (cannot be joined or scanned by the engine as a table) and is orthogonal to the virtual|scan|materialized strategies. Tier exclusivity (REQ-241) chooses it over the materialization store. (5) FEDERATION ENGINE — the execution substrate (REQ-825); tenant-dedicated or shared. Each is independently pluggable: on a developer desktop components 1-4 collapse into one embedded engine (DuckDB/SQLite) and #5 is DuckDB (zero infra); in production they scale out independently (platform registry in Postgres, tenant registries sharded, materialization store in Iceberg/S3, hot cache in Redis, engine in Trino/Snowflake). Tenant isolation for components 2-5 MUST be enforced in the app layer (REQ-828), not delegated to any single store's native RLS, so isolation holds across every medium.","Names the stateful components multi-tenancy must isolate and deployment must place, separating them from the stateless execution pipeline, and makes each independently pluggable so the same platform collapses to zero-infra on a laptop and scales each tier independently in production with tenant isolation enforced uniformly in the app layer."
REQ-831,"11. Platform, Infrastructure & Delivery",Deployment & Infrastructure,SHOULD,Available,"Demo datasources run as host processes with no Docker. The demo GraphQL service (Strawberry + Starlette ASGI, demo/graphql_server/server.py, port 4000) and the demo OpenAPI petstore service (Starlette ASGI, demo/petstore_server/server.py, port 18080) are launched as background uvicorn subprocesses by demo/run-demo-servers.sh {start|stop}, replacing the former docker-compose services (swaggerapi/petstore3 'petstore-mock' and the built 'graphql-demo' container in docker-compose.demo.yml). start-ui.sh --demo starts and stops them and exports PETSTORE_BASE_URL=http://localhost:18080/api/v3 and GRAPHQL_DEMO_URL=http://localhost:4000/graphql; config/provisa.yaml reads those env vars with defaults that preserve the old Docker service names for containerized runs. This removes the demo-source Docker dependency for local/desktop development, advancing the zero-infra deployment model (REQ-829, REQ-830).","Lets a developer run the full demo (governed GraphQL + OpenAPI sources) on a laptop without Docker, consistent with the embedded-engine / embedded-store zero-infra desktop model."
REQ-832,"11. Platform, Infrastructure & Delivery",Data Model & Persistence,MUST,Available,"Control-plane database is accessed through a SQLAlchemy-Core abstraction (provisa/core/database.py: Database/Connection/Row) backed by an AsyncEngine, replacing raw asyncpg. Connection pool replaces asyncpg.create_pool with equivalent behavior.","Enables multi-database support (PostgreSQL Tier-1, SQLite/MySQL Tier-2) by centralizing SQL dialect translation and connection management in one module."
REQ-833,"11. Platform, Infrastructure & Delivery",Data Model & Persistence,MUST,Available,"Control-plane data model is split into two SQLAlchemy MetaData registries—platform control plane (orgs, user_profiles, user_org_memberships, local_users, org_invites, tenants, tenant_config) and per-org tenant control plane (sources, registered_tables, table_columns, relationships, roles, rls_rules, domains, materialized_views, kafka_*, api_*, creation_requests, tracked_functions/webhooks, live_query_state, node_ids, rel_ids, query_audit_log, etc.). Exposed at runtime as state.admin_db and state.org_db.","Separates multi-tenant platform metadata from per-tenant schema, enabling per-tenant state isolation and independent schema evolution."
REQ-834,"11. Platform, Infrastructure & Delivery",Data Model & Persistence,MUST,Available,"Portable-type policy for cross-backend support maps PG-specific types to portable equivalents (JSONB/TEXT[] → JSON, SERIAL/BIGSERIAL → Integer/BigInteger identity, TIMESTAMPTZ → DateTime(timezone), UUID → Uuid, BYTEA → LargeBinary). Dialect-aware upsert() and insert_returning() helpers replace PG-only ON CONFLICT/RETURNING.","Ensures Tier-1 PostgreSQL, Tier-2 SQLite ≥3.35, and Tier-2 MySQL 8 can all execute the same control-plane schema without migration."
REQ-835,"11. Platform, Infrastructure & Delivery",Data Model & Persistence,MUST,Available,"A Capabilities flag object gates database features by dialect—LISTEN/NOTIFY, advisory locks, arrays, append-only RULEs, RETURNING are PG-only and must not be used on SQLite or MySQL backends.",Prevents runtime errors when control plane is deployed on non-PostgreSQL backends by enforcing compile-time feature gating.
REQ-836,"11. Platform, Infrastructure & Delivery",Docker Composition & Deployment,MUST,Available,"Trino FTE exchange spooling directory (provisa_exchange Docker named volume, mounted at /data/provisa/exchange) must be owned by uid 1000 before Trino starts. A trino-exchange-init busybox one-shot service in docker-compose.core.yml chowns the volume and runs before both trino coordinator and trino-worker via condition: service_completed_successfully.","Trino runs as uid 1000 but freshly-created named volumes are owned root:root, causing write failures and GENERIC_INTERNAL_ERROR on every FTE query (retry-policy=TASK). Pre-initialization via service dependency ensures filesystem readiness."
REQ-837,"11. Platform, Infrastructure & Delivery",Data Model & Persistence,MUST,Available,"Platform control plane and tenant control plane use two independent SQLAlchemy engines and connection pools (state.admin_db for platform registry; state.org_db for per-tenant data). Platform database is configured by PLATFORM_DATABASE_URL env var (full SQLAlchemy URI supporting any async backend: postgresql+asyncpg, sqlite+aiosqlite, mysql+aiomysql); required at startup with no fallback.","Enables deployment models where platform registry and per-tenant data live in separate databases on different backends (platform on SQLite/MySQL, tenant on PostgreSQL, or vice versa), allowing independent lifecycle and scaling."
REQ-838,"11. Platform, Infrastructure & Delivery",Data Model & Persistence,MUST,Available,"Tenant control-plane isolation is a CONTRACT, not a mechanism: within a tenant-scoped control-plane connection (state.org_db bound to one org_id), no other org's rows are reachable — reads and writes see only the connecting org's data, and cross-org access requires explicitly binding a different org. The ENFORCEMENT MECHANISM is backend-relative, selected by the control-plane store's dialect and never assumed to be PostgreSQL-specific: PostgreSQL realizes it with a per-connection SET search_path to org_<org_id> plus a per-org role (physical schema isolation); single-tenant portable backends (SQLite / MySQL bootstrapped from schema_org) realize it as the sole default schema of a per-tenant database; a backend offering row-security may realize it via a tenant predicate. The invariant is identical across backends — only the realization differs, and unavailable mechanisms degrade explicitly, never silently (REQ-889).","Per-tenant state is isolated without row-level filtering logic on every query, on whatever control-plane store the deployment chooses. The mechanism is chosen from the backend's capabilities (PG schema+role, single-tenant default schema, or row-security predicate) so the same isolation guarantee holds when the control-plane store is swapped (REQ-850)."
REQ-839,"11. Platform, Infrastructure & Delivery",Data Model & Persistence,MUST,Available,"Platform registry tables (orgs, user_profiles, user_org_memberships, local_users, org_invites, tenants, tenant_config) are created from portable SQLAlchemy metadata (schema_admin.init_registry_schema via metadata.create_all), not raw SQL schema files. No cross-database foreign key constraints between platform and tenant planes (FKs from domains.org_id, roles.org_id, etc. dropped to plain columns). id/token generation for local_users and org_invites moved app-side (uuid4) instead of PG-specific gen_random_uuid() server defaults.","Ensures platform registry can run on any SQLAlchemy-supported async backend (PostgreSQL, SQLite ≥3.35, MySQL 8) without migration or schema.sql maintenance. Plain columns (no FK enforcement) allow platform and tenant planes to exist in separate physical databases with independent schemas."
